Teenage Mutant Ninja Hertls,,Captain Shattnerkirk,,HockeyMind,,I Kane too early,,ImPasta,,Ville USO,,Kyle sux dalescoq,,JockeyMind,,Moany & Groany,,Suck and Blow,,Slap Shot,,Tatar Sauce,
Alexandar Georgiev,0,Jake Guentzel,0,Evan Bouchard,0,Steven Stamkos,0,Cale Makar,0,Alex Ovechkin,0,Auston Matthews,0,Victor Hedman,0,Brayden Point,0,Jack Eichel,0,Dougie Hamilton,0,Sidney Crosby,0
Elias Pettersson,0,Rasmus Dahlin,0,Jack Hughes,0,Clayton Keller,1,Juuse Saros,0,Connor Bedard,0,Ilya Sorokin,0,Brent Burns,2,Nikita Kucherov,0,Nathan MacKinnon,0,Kirill Kaprizov,0,Roope Hintz,2
Filip Forsberg,2,Joel Eriksson Ek,3,Andrei Svechnikov,1,Ryan Nugent-Hopkins,2,Charlie McAvoy,1,Connor McDavid,0,John Tavares,0,Zach Hyman,3,Evgeni Malkin,1,Roman Josi,0,Sam Reinhart,1,J.T. Miller,3
Jakob Chychrun,4,Brock Nelson,5,Patrik Laine,1,Miro Heiskanen,4,Ilya Samsonov,1,Chris Kreider,1,Johnny Gaudreau,1,Adrian Kempe,5,John Carlson,1,Pierre-Luc Dubois,1,Tim Stutzle,2,Joonas Korpisalo,4
Michael Matheson,6,Mark Scheifele,6,Noah Dobson,2,Bo Horvat,5,Troy Terry,3,Claude Giroux,1,Jake Oettinger,2,Matt Boldy,5,Frederik Andersen,2,Sergei Bobrovsky,2,Trevor Zegras,3,Jamie Benn,5
Tomas Hertl,6,Sebastian Aho,7,Andrei Vasilevskiy,4,Josh Norris,6,William Nylander,4,Alex Pietrangelo,2,Tyler Toffoli,3,Jason Robertson,8,Jacob Markstrom,2,Seth Jones,2,David Perron,4,Brad Marchand,7
Adin Hill,7,Evander Kane,8,Jordan Kyrou,5,John Gibson,8,David Pastrnak,8,Carter Hart,3,Nazem Kadri,4,Marc-Andre Fleury,9,Jonathan Huberdeau,3,Darcy Kuemper,3,Tristan Jarry,5,Jordan Binnington,8
Logan Thompson,7,Morgan Rielly,8,Artemi Panarin,6,Luke Hughes,8,Kyle Connor,8,Ville Husso,3,Drew Doughty,5,Tage Thompson,10,Shea Theodore,3,Mark Stone,3,Justin Faulk,6,Jack Campbell,9
Mitchell Marner,7,Tyler Bertuzzi,9,Leon Draisaitl,6,Tyson Barrie,9,Matty Beniers,9,Robert Thomas,4,Mikhail Sergachev,6,Jason Zucker,11,Kris Letang,4,Aaron Ekblad,4,Matthew Tkachuk,7,Nico Hischier,10
Jeff Skinner,9,Owen Tippett,12,Quinn Hughes,7,Pyotr Kochetkov,10,Mika Zibanejad,9,Jeremy Swayman,5,Cole Caufield,7,Jordan Eberle,11,Dylan Larkin,6,Devon Toews,4,Evgeny Kuznetsov,8,Jacob Trouba,11
Kevin Fiala,10,Sean Couturier,13,Aleksander Barkov,9,Karel Vejmelka,11,Lucas Raymond,10,Zach Werenski,5,Jonathan Marchessault,8,Filip Gustavsson,12,Sam Bennett,7,Anze Kopitar,5,John Klingberg,9,Kirby Dach,11
Brandon Montour,11,Alex Killorn,14,Igor Shesterkin,10,Viktor Arvidsson,13,Moritz Seider,10,Jesper Bratt,6,Valeri Nichushkin,9,Darnell Nurse,14,Vitek Vanecek,7,Vincent Trocheck,5,Tony DeAngelo,10,Jake DeBrusk,12
Joe Pavelski,11,Boone Jenner,14,Erik Karlsson,11,Wyatt Johnston,13,Devon Levi,12,Thomas Chabot,6,Thatcher Demko,10,Jake Allen,14,Drake Batherson,8,Elias Lindholm,6,Max Domi,11,Taylor Hall,13
Mathew Barzal,12,Cam Talbot,14,Mikko Rantanen,11,Brady Tkachuk,14,Adam Fox,13,Jamie Drysdale,9,Owen Power,12,Pavel Francouz,14,Josh Morrissey,11,Brayden Schenn,7,Vince Dunn,12,Alex Tuch,14
